新力車業行;屏東縣佳冬鄉萬建村大同路11-7號;08-8669258
永祥機車行;屏東縣屏東市中正路215號;08-7331496
明展車業行;屏東縣屏東市民生路32號;08-7234586
阿侯機車行;屏東縣屏東市光榮里公園西路19-2號;08-7336577
行福車業有限公司;屏東縣屏東市自由路381-3號;08-7373355
兩星車業行;屏東縣屏東市復興南路一段345號;08-7523191
順寶車業二輪館;屏東縣屏東市瑞光里民生路63號1樓;08-7214568
安全車業;屏東縣屏東市廣東路780-1號;08-7341361
如利機車行;屏東縣屏東市豐田里建豐路137號1樓;08-7352286
鑫鈴車業行;屏東縣屏東市豐榮里林森路30-10號;08-7216360
峰明機車行;屏東縣東港鎮新勝里中正路256號;08-8324360
龍昇機車行;屏東縣東港鎮興東里中正路一段57號;08-8322410
振興機車行;屏東縣恆春鎮恆南路44號;08-8891528
盈發車業行;屏東縣新園鄉南龍村南興路187號;08-8325639
有福車業有限公司;屏東縣萬丹鄉萬後村西環路586號1樓;08-7778131
全成機車行;屏東縣潮州鎮三共里延平路174號;08-7885318
永福車業有限公司;屏東縣麟洛鄉麟趾村中山路443號;08-7222733
昭明興車業行;屏東縣鹽埔鄉鹽南村勝利路66-2號;08-7932470
公園機車行;台東市中華路一段794號;089-325548
永大車業行;台東市知本路三段551號;089-511777
永豐機車行;台東市新生路88號;089-326328
台友機車行;台東市新成街6號;089-231605
森田機車行;台東市中興路一段616號;089-223702
東貫車業有限公司;台東市正氣路457號;089-310771
連豐機車行;台東市更生北路166號;089-223317
天鎰機車行;台東縣卑南鄉太平路362號;089-382592
進一機車行;台東縣大武鄉尚武村客庄路68之3號;089-791305
裕豐機車行;台東縣太麻里鄉太麻里街222號;089-781236
世雄機車行;台東縣太麻里鄉泰和村北橋40-18號;089-781645
鎮山機車行;台東縣太麻里鄉大溪133號;089-761125
金發機車行;台東縣關山鎮和平路96號;089-811770
益昌機車行;台東縣成功鎮五權路136號;089-851882
億昌機車行;台東縣成功鎮中山東路118號;089-851518
進億機車行;台東市更生北路446號;089-223575
鑫山機車行;台東縣卑南鄉忠孝路90號;089-571137
晉良企業有限公司;花蓮縣花蓮市中正路314號;03-8322968
泰多車業行;花蓮縣花蓮市中華路324、326號1樓;03-8325555
時代機車行;花蓮縣花蓮巿中山路646號;03-8561999
順良機車行;花蓮縣花蓮巿節約街31號;03-8325085
建德機車行;花蓮縣花蓮巿府前路370號1樓;03-8228606
立大車業行;花蓮縣花蓮巿中山路410-4號1樓;03-8328813
信成機車行;花蓮縣花蓮巿中原路365號;03-8326772
永發輪機車行;花蓮縣花蓮市尚志路55-1號;03-8222633
宏偉車業行;花蓮縣花蓮市富國路82號;03-8575736
勝利機車行;花蓮縣新城鄉新城村新興路65號;03-8612859
金茗車業行;花蓮縣吉安鄉建國路1段28號1樓;03-8465180
慶泰車業有限公司;花蓮縣吉安鄉中正路一段154號1樓、156-1號1樓;03-8535191
金榮機車行;花蓮縣吉安鄉建國路二段161號;03-8577730
正鴻車業行;花蓮縣吉安鄉仁里五街32號;03-8529326
永富機車行;花蓮縣吉安鄉中山路二段161號;03-8520845
全美車業行;花蓮縣吉安鄉海岸路196號;03-8521737
升源機車行;花蓮縣吉安鄉自強456號;03-8570447
永全機車行;花蓮縣光復鄉大安村中山路二段155號;03-8700476
大將機車行;花蓮縣光復鄉中山路2段140號;03-8701327
皇冠輪業行;花蓮縣鳳林鎮中正路2段195號;03-8763393
皇家車業行;花蓮縣玉里鎮中華路307號;03-8882748
富里機車行;花蓮縣富里鄉中山路71號;03-8831169
宏昌機車行;花蓮縣瑞穗鄉中正南路75號;03-8872768
昇隆機車行;南投市平和里平和街5號;049-2224970
吉勝機車行;南投市南崗二路347號;049-2223300
祥順機車行;南投市營北里中正路318號;049-2329398
城中車行;南投縣草屯鎮土城里中正路167號;049-2552132
瑞彬機車行;南投縣草屯鎮南埔里中正路332-1號;049-2560492
新民機車行;南投縣草屯鎮新豐里稻香路91-4號;049-2330654
大統機車行;南投縣草屯鎮碧峰里碧山路1155-7號;049-2314258
元宏昌機車行;南投縣草屯鎮中山里成功路227號;049-2322478
金豆機車行;南投縣草屯鎮復興里碧山路700-1號;049-2313771
明利車業;南投縣草屯鎮中正路782-1號;049-2328373
銘城機車行;南投縣草屯鎮太平路二段253號一樓;049-2303429
昇達車業行;南投縣草屯鎮敦和里仁愛街280號;049-2336386
政興機車行;南投縣草屯鎮敦和路50-6號;049-2305640
諭興機車行;南投縣中寮鄉永安街162號;049-2692991
日安機車行;南投縣名間鄉大庄村南田路86-19號;049-2273061
吉村機車行;南投縣南投市南陽路413號;049-2205009
大唐機車行;南投縣竹山鎮山崇里集山路一段2264號;049-2623072
